id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
835,男性,1974,N,N,N,单身,1.75,81,标准身材,阳光正气,本科,4,N,N,N,人力资源,N,N,N,N,收入可观,标准身材,女性,1969,1981,1969年到1981年间出生,N,N,离异,N,N,N,N,高中,2,N,N,N,N,经济条件较好,N,N
836,女性,1966,江苏无锡,N,N,离异,N,N,N,N,N,N,N,N,N,N,N,N,儿女已成家,N,退休,N,男性,1953,1967,1953年到1967年间出生,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
837,女性,1989,上海,N,德国,单身,1.6,N,貌佳清秀,善良温柔,本科,4,N,Y,N,N,N,N,N,N,N,N,男性,1981,1997,1981年到1997年间出生,N,德国或新加坡或美国,未婚,1.7,N,阳光、有担当、有责任心、稳重,N,N,N,N,N,N,N,N,N,N
838,女性,1993,N,N,美国芝加哥,单身,1.69,N,貌佳甜美,清秀善良,研究生,5,N,Y,N,N,N,有房,N,N,在校生，家境好，有三套房,N,男性,1983,1998,1983年到2003年间出生,江浙沪,美国,N,N,N,阳光,N,N,N,N,N,N,N,在美国工作或读书,N,N
839,女性,1973,上海,有上海户口,N,N,1.6,N,气质佳,温柔、善良、乐观向上、勤劳持家、随和、体贴、大方,高中,2,N,N,N,国企,N,有房,N,N,备有婚房,勤劳持家,男性,1963,1983,1963年到1983年间出生,N,N,离异,N,N,有担当、脾气性格好,N,N,N,稳定工作,N,有婚房,N,N,N,N
840,女性,1978,N,N,N,N,1.58,N,气质佳、甜美,善良、体贴大方,大专,3,N,N,N,私企,N,N,N,N,N,N,男性,1968,1988,1968年到1988年间出生,N,N,N,N,N,阳光、有担当、责任心、独立,N,N,N,N,N,有婚房,N,N,N,N
841,女性,1981,N,N,N,离异,N,N,N,N,本科,4,重点大学毕业,N,N,政府机关事业单位,N,N,N,N,N,N,男性,1971,1991,1971年到1991年间出生,N,N,N,1.7,N,性格随和、有责任心、作风正派,N,大专,3,N,N,N,N,N,N,N
842,男性,1949,N,有上海户口,N,离异,1.72,N,N,阳光,N,N,N,N,N,N,N,有房,N,爱唱歌、无不良嗜好,备有婚房。健康，家境好。已退休,N,女性,N,1958,1958年前出生,上海户口,N,丧偶或离异,1.6,清秀,脾气好、性格好,N,N,N,N,N,有婚房,N,在事业单位,N,N
843,女性,1982,N,有上海户口,N,N,1.61,N,N,N,研究生,5,重点大学毕业,N,N,N,N,N,父母公务员已退休,爱国画,英语六级,N,男性,1976,1983,1976年到1983年间出生,N,N,N,1.68,N,N,N,研究生,5,N,N,N,N,N,N,N
844,女性,1983,辽宁,N,N,单身,1.66,N,相貌端正、身材匀称,品行端正、传统,本科,4,重点大学毕业,N,N,民企高级工程师,N,N,父母央企退休,爱好旅游、摄影,N,N,男性,1980,1986,年龄相仿,N,N,未婚,N,N,有责任心、性格开朗、诚实守信、孝顺父母,N,N,N,工作稳定,N,N,N,条件相当,N,Y
845,男性,1976,山西,有上海户口,N,N,1.74,N,N,N,研究生,5,N,N,N,事业单位,N,有房,N,爱好体育、读书,备有婚房,N,女性,N,1980,1980年前出生,N,N,N,1.65,N,品行端正,N,N,N,N,N,N,N,身体健康,N,N
846,女性,1976,N,有上海户口,N,离异,1.63,51,相貌佳,N,研究生,5,N,N,绘画，设计,高校老师,N,有房,父亲高级教师，母亲会计师均已退休,爱好网球、羽毛球、游泳、高尔夫,N,N,男性,N,N,N,N,N,未婚,1.73,N,性格开朗，尊重老人，有责任心,N,N,N,N,N,N,N,条件相当，兴趣，爱好相当，身体健康，户籍不限,N,Y
847,男性,1951,上海,N,N,离异,N,N,N,N,N,N,N,N,N,N,N,有房,N,爱好文学艺术,备有婚房。身体健康,N,女性,N,N,N,N,N,N,N,N,温柔,N,N,N,N,N,N,N,健康,N,N
848,女性,1976,N,有上海户口,N,N,1.63,N,外貌好,性格好、善解人意、易沟通、善良、有孝心、顾家,N,N,N,N,N,服务咨询,N,N,N,爱看书、运动,N,已沟通,男性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
849,男性,1981,N,有上海户口,N,离异,1.85,N,N,N,研究生,5,重点大学毕业,N,电子信息,外企,N,N,N,爱运动，无不良嗜好,N,N,女性,1984,N,N,N,N,N,1.65,N,性格开朗,N,N,N,N,N,N,N,N,N,N
850,女性,1980,N,有上海户口,N,N,1.6,N,外貌姣好气质佳,开朗,本科,4,N,N,N,外资500强资深工程师,N,有房,N,爱运动,备有婚房,N,男性,1975,1980,1975年到1980年间出生,N,N,未婚,N,N,性格成熟有责任心、事业心强,N,本科,4,N,N,N,N,N,N,N
851,男性,1978,江苏,有上海户口,N,N,N,N,N,N,本科,4,N,N,N,事业单位,N,N,N,不吸烟、不喝酒、不打牌、无任何不良嗜好,N,N,女性,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
852,男性,1981,N,有上海户口,N,单身,1.64,N,N,品优上进,研究生,5,N,N,N,国企高级工程师,N,有房,知青家庭,不沾烟酒,备有婚房。工作稳定,N,女性,N,N,N,N,N,N,1.57,N,N,N,本科,4,N,N,N,N,N,N,N
853,女性,1983,N,有上海户口,N,N,N,N,N,聪慧贤淑、气质高雅,N,N,重点大学毕业,Y,金融,知名外企,N,N,高知家庭,钢琴7级,独生女,钢琴7级,男性,1978,1983,1978年到1983年间出生,N,N,N,1.7,N,阳光、善良,无不良嗜好,本科,4,事业有成,N,N,N,家教良好,N,N
